Concurso,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3
320,8/12/2001,20,22,27,47,50,53,0,77,4916,0,15489,"241,69"
321,12/12/2001,4,11,31,32,48,49,0,55,3729,0,"16954,09","249,11"
322,15/12/2001,11,18,29,44,47,56,0,87,7835,0,"15453,45","170,95"
323,19/12/2001,26,31,33,40,49,54,0,56,4244,0,"19921,91","261,89"
324,22/12/2001,8,15,22,25,30,47,0,211,12192,0,"7938,4","136,87"
325,29/12/2001,1,3,4,21,23,53,2,256,15646,"8743877,8","9590,82","156,33"
326,5/1/2002,21,23,40,44,51,52,0,27,2674,0,"32367,36","325,58"
327,9/1/2002,29,32,33,38,46,48,0,16,2112,0,"30517,93","230,33"
328,12/1/2002,5,7,14,21,23,51,1,100,7121,"2721357,01","9055,92","126,69"
329,16/01/2002,10,11,12,24,35,40,0,40,2904,0,"10380,3","142,44"
330,19/01/2002,2,4,14,23,37,51,0,120,7914,0,"10924,51","165,03"
331,23/01/2002,1,13,20,27,35,37,0,70,6408,0,"13872,44","150,97"
332,26/01/2002,23,28,29,34,42,44,0,83,6713,0,"16762,69","206,47"
333,30/01/2002,4,27,35,44,52,53,0,93,6221,0,"12692,31","189,02"
334,2/2/2002,14,23,24,26,41,51,2,1200,8839,"8729392,91","1400,91","189,47"
335,6/2/2002,7,23,33,43,57,59,0,24,2134,0,"17736,83","198,73"
336,9/2/2002,2,18,22,26,30,54,0,68,4141,0,"11058,6","180,91"
337,16/02/2002,4,14,16,31,52,54,0,34,3454,0,"27110,52","265,86"
338,20/02/2002,1,4,9,36,46,48,0,43,3245,0,"14031,02","185,23"
339,23/02/2002,5,12,13,16,27,50,0,76,6908,0,"12374,85","135,64"
340,27/02/2002,9,10,12,33,42,60,0,121,6970,0,"9877,84","170,83"
341,2/3/2002,5,16,22,23,43,56,0,166,11103,0,"9623,14","143,34"
342,6/3/2002,16,29,34,49,51,54,0,93,5578,0,"15067,81","250,27"
343,9/3/2002,4,6,7,12,24,41,2,246,17023,"9937283,03","7884,39","113,51"
344,13/03/2002,10,12,14,33,35,36,0,46,3487,0,"9494,33","124,78"
345,16/03/2002,11,22,46,51,56,58,1,27,2170,"1447870,53","28511,84","353,42"
346,20/03/2002,7,12,41,46,56,60,0,20,1589,0,"19632,3","246,17"
347,23/03/2002,1,10,12,26,48,52,0,72,4730,0,"9988,89","151,48"
348,27/03/2002,19,30,33,39,40,52,0,19,1547,0,"26763,06","327,46"
349,30/03/2002,8,9,28,32,38,54,0,46,3264,0,"14053,06","197,31"
350,3/4/2002,10,15,23,30,43,57,0,80,5012,0,"11801,82","187,66"
351,6/4/2002,15,16,24,41,59,60,0,98,5832,0,"14478,34","242,37"
352,10/4/2002,7,20,25,44,47,49,0,161,8080,0,"7848,74","155,8"
353,13/04/2002,19,23,30,46,55,60,0,89,6862,0,"19537,11","252,44"
354,17/04/2002,7,16,38,40,41,52,1,93,6184,"18680098,1","16450,68","246,46"
355,20/04/2002,2,14,22,23,37,60,0,50,4711,0,"14412,47","152,39"
356,24/04/2002,5,19,21,54,56,58,0,32,2415,0,"15777,72","208,28"
357,27/04/2002,2,30,32,35,45,53,0,34,3265,0,"23899,52","247,94"
358,4/5/2002,12,17,21,32,40,42,0,84,5798,0,"12903,06","186,23"
359,8/5/2002,13,19,20,29,31,54,0,56,3953,0,"13050,25","184,17"
360,11/5/2002,23,24,29,47,53,55,0,133,8382,0,"10645,79","168,28"
361,15/05/2002,16,28,31,41,45,59,0,98,5236,0,"12456,14","232,26"
362,18/05/2002,7,20,33,37,46,56,1,110,8313,"18399160,53","15253,12","201,08"
363,22/05/2002,19,29,39,47,49,54,0,27,2225,0,"14921,89","180,39"
364,25/05/2002,5,29,44,51,57,59,1,76,3315,"1307293,04","9033,16","206,32"
365,29/05/2002,19,23,34,37,52,58,1,45,2433,"462752,26","8569,49","157,9"
366,1/6/2002,4,6,7,15,21,51,0,41,3489,0,"12721,16","148,93"
367,5/6/2002,10,12,27,33,49,52,1,71,3040,"1150498,02","6157,48","143,27"
368,8/6/2002,13,29,32,38,44,50,0,53,3220,0,"10725,28","175,87"
369,12/6/2002,1,14,21,35,42,60,1,46,4167,"1221738,07","9775,55","107,51"
370,15/06/2002,1,4,40,42,51,54,0,40,3230,0,"23283,3","287,25"
371,19/06/2002,4,18,23,33,39,60,0,47,3979,0,"16675,12","196,23"
372,22/06/2002,16,17,24,39,46,57,2,85,6743,"4792658,35","12884,04","161,8"
373,26/06/2002,1,5,10,24,31,33,0,52,3292,0,"6480,14","101,98"
374,29/06/2002,2,5,16,26,44,54,0,80,3326,0,"8073,17","193,45"
375,3/7/2002,1,5,9,42,51,58,0,33,2359,0,"14359,09","200,11"
376,6/7/2002,10,13,25,35,43,48,0,110,6956,0,7257,"114,33"
377,10/7/2002,3,12,19,27,45,46,0,87,5468,0,"6639,02","105,23"
378,13/07/2002,5,38,41,45,48,55,0,36,3115,0,"25450,6","293,02"
379,17/07/2002,24,33,40,41,55,59,0,32,2830,0,"23407,93","263,68"
380,20/07/2002,13,22,30,31,47,57,0,206,7186,0,"6628,67","189,31"
381,24/07/2002,9,10,28,46,55,56,0,85,7295,0,"14181,19","164,62"
382,27/07/2002,31,34,37,38,53,54,0,68,6291,0,"23756,27","255,82"
383,31/07/2002,14,22,48,50,53,56,0,73,6573,0,"23753,43","262,81"
384,3/8/2002,24,28,40,47,50,52,0,151,10644,0,"18351,99","259,37"
385,7/8/2002,5,12,16,18,22,24,2,759,37449,"12952192,89","4645,17","93,8"
386,10/8/2002,17,35,36,39,43,54,0,70,5236,0,"11571,98","154,12"
387,14/08/2002,22,28,29,43,47,48,0,40,2998,0,"14937,65","198,55"
388,17/08/2002,23,36,48,52,53,58,0,46,4293,0,"18826,46","200,97"
389,21/08/2002,5,14,18,43,46,54,0,63,4169,0,"11305,19","170,2"
390,24/08/2002,7,12,22,34,38,53,1,171,10722,"17611429,97","9094,15","144,49"
391,28/08/2002,4,7,15,16,35,40,0,44,2740,0,"10170,35","162,7"
392,31/08/2002,15,23,31,39,47,49,1,68,3591,"1410917,29","10709,84","202,03"
393,4/9/2002,6,12,35,36,40,50,0,31,1949,0,"13716,51","217,35"
394,7/9/2002,5,15,35,42,45,49,0,47,4815,0,"11817,8","114,93"
395,11/9/2002,10,11,14,20,31,58,1,27,2328,"1843709,96","20584,31","237,84"
396,14/09/2002,6,18,34,42,45,47,0,63,4201,0,"10148,72","151,63"
397,18/09/2002,1,2,5,24,32,46,0,61,4026,0,"7992,42","120,64"
398,21/09/2002,7,16,22,28,36,37,1,63,5106,"2221289,77","11494,73","141,29"
399,25/09/2002,11,16,27,47,55,59,0,20,1730,0,19537,"225,01"
400,28/09/2002,10,13,28,29,54,59,0,75,4875,0,"13254,18","203,14"
401,2/10/2002,11,18,43,44,50,53,0,33,2853,0,"25008,64","288,18"
402,5/10/2002,5,16,27,43,56,58,0,146,7787,0,"7927,99","148,08"
403,9/10/2002,7,16,27,31,46,60,0,48,4099,0,"19972,95","233,01"
404,12/10/2002,1,24,28,38,40,58,0,66,4364,0,"16580,07","249,8"
405,16/10/2002,24,29,34,47,57,60,0,67,4579,0,"16988,17","247,63"
406,19/10/2002,2,12,32,38,47,48,0,78,6557,0,"19463,48","230,66"
407,23/10/2002,2,18,22,49,51,57,0,90,6383,0,"16315,38","229,18"
408,26/10/2002,14,28,33,44,49,56,1,269,13970,"18948827,67","7085,43","135,92"
409,30/10/2002,18,25,26,31,34,49,0,23,1958,0,"18741,96","219,32"
410,2/11/2002,8,24,31,36,38,55,0,101,5799,0,"10257,12","177,97"
411,6/11/2002,10,12,31,38,45,56,0,91,5115,0,"11814,39","209,4"
412,9/11/2002,5,12,14,21,45,59,0,89,8542,0,"16616,72","172,49"
413,13/11/2002,2,4,29,33,35,53,0,102,7746,0,"13376,53","175,49"
414,16/11/2002,16,26,35,45,52,58,1,51,5527,"17428452,98","28964,68","266,26"
415,20/11/2002,1,4,27,38,42,44,0,40,2415,0,"11027,47","181,96"
416,23/11/2002,1,13,23,33,54,56,0,44,4032,0,"16547,76","179,9"
417,27/11/2002,7,12,21,25,34,42,0,78,5218,0,"7435,78","110,73"
418,30/11/2002,8,15,32,45,49,52,2,82,5133,"1558712,24","10349,55","164,72"
419,4/12/2002,9,16,41,42,52,53,0,30,1594,0,"14860,22","278,62"
420,7/12/2002,12,29,30,43,57,59,0,83,5614,0,"13949,86","205,47"
421,11/12/2002,5,35,37,38,45,51,0,47,4716,0,"21307,17","211,55"
422,14/12/2002,12,37,43,55,56,60,0,80,6516,0,"16823,65","205,77"
423,18/12/2002,8,22,32,33,40,53,0,66,4178,0,"17925,27","282,1"
424,21/12/2002,18,27,29,36,46,59,0,91,7389,0,"17356,78","212,95"
425,28/12/2002,6,10,16,34,42,47,1,279,17411,"18979599,19","9985,67","159,42"
426,4/1/2003,7,30,32,37,50,54,0,58,3139,0,"13241,94","243,76"
427,8/1/2003,3,13,14,24,43,51,0,48,3563,0,"11642,1","156,25"
428,11/1/2003,8,28,30,32,46,60,0,48,3734,0,16919,"216,67"
429,15/01/2003,17,26,32,36,43,55,0,44,3300,0,"14978,72","198,96"
430,18/01/2003,8,10,21,25,38,50,1,85,6944,"14410708,81","15408,7","187,9"
431,22/01/2003,26,37,40,47,52,58,0,20,1184,0,"21069,89","354,56"
432,25/01/2003,4,13,17,27,39,50,0,54,4278,0,"12185,97","153,24"
433,29/01/2003,16,17,28,30,36,54,0,31,2332,0,"16580,2","219,58"
434,1/2/2003,4,10,17,24,30,54,0,84,4870,0,"9173,28","157,63"
435,5/2/2003,10,11,17,31,37,43,0,55,3243,0,"11059,32","186,85"
436,8/2/2003,1,6,7,29,48,57,0,47,4696,0,"19531,31","194,74"
437,12/2/2003,7,10,30,44,54,59,0,33,2829,0,"22273,9","258,84"
438,15/02/2003,3,5,11,14,38,48,0,65,6276,0,"16281,73","167,99"
439,19/02/2003,13,20,29,42,43,57,0,65,4407,0,"13353,84","196,22"
440,22/02/2003,3,5,23,30,46,47,0,139,10120,0,"10909,13","149,28"
441,26/02/2003,2,10,15,21,58,59,0,121,6941,0,"11917,74","206,98"
442,1/3/2003,6,15,23,31,37,59,1,135,9944,"19946601,01","13861,59","187,48"
443,8/3/2003,11,17,26,36,48,52,0,47,3738,0,"16322,42","204,46"
444,12/3/2003,3,24,33,48,52,57,0,43,3332,0,"13890,62","178,58"
445,15/03/2003,7,20,31,32,50,53,0,31,3101,0,"28559,37","284,42"
446,19/03/2003,8,11,12,17,20,47,2,65,5039,"1767117,91","10698,55","137,48"
447,22/03/2003,15,24,25,33,42,55,0,55,5613,0,"12010,32","117,25"
448,26/03/2003,3,5,9,45,51,52,0,40,2999,0,"13356,99","177,48"
449,29/03/2003,1,8,24,34,49,56,0,55,3656,0,"14643,05","219,46"
450,2/4/2003,1,9,13,50,51,59,0,108,6194,0,"10575,6","183,7"
451,5/4/2003,17,18,23,28,31,53,0,87,7368,0,"17131,8","201,53"
452,9/4/2003,11,16,30,36,51,54,0,76,6317,0,"18847,21","225,9"
453,12/4/2003,8,20,23,34,52,58,0,120,7882,0,"15932,45","241,65"
454,16/04/2003,4,17,24,42,46,56,0,275,16564,0,"7515,39","124,3"
455,19/04/2003,2,14,15,17,50,59,0,86,7989,0,"23171,64","248,5"
456,23/04/2003,3,17,22,27,33,40,0,221,16964,0,"11142,66","144,61"
457,26/04/2003,15,17,24,27,32,48,3,480,31340,"10000441,74","8302,49","126,68"
458,30/04/2003,13,24,32,34,43,53,0,82,3921,0,"7395,34","154,08"
459,3/5/2003,8,15,17,39,43,49,0,62,4197,0,"12146,48","178,76"
460,7/5/2003,19,23,30,37,49,55,0,155,9464,0,"9688,96","158,09"
461,10/5/2003,15,17,20,29,30,60,0,189,8312,0,"10317,48","233,71"
462,14/05/2003,17,19,22,26,27,48,0,212,14463,0,"9023,34","131,76"
463,17/05/2003,2,3,7,18,45,53,0,166,15269,0,"14740,96","159,66"
464,21/05/2003,6,24,33,38,45,50,1,241,15457,"28414544,43","10837,34","168,33"
465,24/05/2003,1,22,31,46,51,57,0,19,2175,0,"40627,81","353,57"
466,28/05/2003,11,16,28,29,30,45,0,64,3582,0,"10353,72","184,29"
467,31/05/2003,8,18,21,22,38,60,0,45,3907,0,"20730,13","237,87"
468,4/6/2003,5,6,23,25,39,51,0,58,4701,0,"14292,56","175,67"
469,7/6/2003,13,21,26,29,42,47,2,187,8798,"2596432,92","6048,12","128,07"
470,11/6/2003,8,11,23,37,51,58,0,86,6094,0,"13384,59","188,18"
471,14/06/2003,5,31,32,36,51,59,0,76,5490,0,"19668,02","271,24"
472,18/06/2003,3,4,12,29,38,51,0,82,6518,0,"17224,58","215,88"
473,21/06/2003,7,23,41,49,51,58,0,65,6524,0,"23285,11","231,12"
474,25/06/2003,3,12,32,34,40,50,0,56,6910,0,"34156,59","275,76"
475,28/06/2003,6,8,19,22,43,52,0,156,13235,0,"15008,18","176,23"
476,2/7/2003,17,20,38,43,55,58,0,163,11465,0,"16837,81","238,49"
477,5/7/2003,6,8,18,34,38,47,3,279,21958,"10401481,92","12900,92","163,3"
478,9/7/2003,3,8,21,25,30,31,0,92,4876,0,"7045,32","132,43"
479,12/7/2003,20,26,41,46,54,58,0,32,2834,0,"29012,34","326,35"
480,16/07/2003,14,33,36,38,41,49,0,112,8589,0,"13831,54","179,69"
481,19/07/2003,6,13,22,24,42,44,3,359,19465,"6796888,03","5670,32","104,19"
482,23/07/2003,12,13,33,53,54,56,0,41,2929,0,"14878,29","207,48"
483,26/07/2003,16,18,23,35,44,59,0,90,6279,0,"9761,25","139,38"
484,30/07/2003,17,18,19,38,49,53,0,55,4015,0,"13655,17","186,35"
485,2/8/2003,19,28,30,38,52,57,0,30,3203,0,"35888,42","334,87"
486,6/8/2003,8,14,19,30,42,50,1,55,4325,"5125800,12","17368,92","220,05"
487,9/8/2003,8,22,25,48,52,54,2,104,5329,"467702,34","7495,23","145,73"
488,13/08/2003,15,30,35,39,43,57,0,46,2699,0,"11864,07","201,45"
489,16/08/2003,17,28,33,36,53,59,0,67,5107,0,"12406,82","162,16"
490,20/08/2003,5,11,23,29,54,58,1,148,8438,"11070173,5","7925,35","138,49"
491,23/08/2003,1,9,15,22,43,55,1,81,4221,"849344,26","8738,11","167,05"
492,27/08/2003,2,6,15,18,56,57,0,26,2629,0,"19041,52","187,61"
493,30/08/2003,3,18,20,24,42,54,0,79,5294,0,"9663,99","143,67"
494,3/9/2003,18,20,28,32,49,53,0,32,2766,0,"21997,6","253,53"
495,6/9/2003,8,15,29,36,49,60,0,48,5313,0,"20565,02","185,09"
496,10/9/2003,10,19,20,29,41,59,0,31,3495,0,"27720,31","244,94"
497,13/09/2003,9,13,20,32,41,58,0,72,5439,0,"15712,44","207,21"
498,17/09/2003,2,6,28,49,50,57,0,58,4592,0,17603,"221,5"
499,20/09/2003,1,4,5,11,44,59,1,126,8903,"8698099,22","10216,18","144,04"
500,27/09/2003,21,29,35,36,38,54,1,73,6818,"9394248,83","23869,01","254,6"
501,1/10/2003,16,27,28,34,39,56,0,43,3037,0,"11303,51","159,45"
502,4/10/2003,7,13,21,24,33,50,2,268,9549,"730915,33","2731,87","76,39"
503,8/10/2003,7,10,21,27,48,49,0,40,2934,0,"11636,06","158,04"
504,11/10/2003,8,11,19,30,39,50,0,54,4006,0,"12855,55","172,64"
505,15/10/2003,3,20,28,46,47,52,0,30,2559,0,"19736,18","230,51"
506,18/10/2003,4,15,31,34,37,38,0,65,4735,0,"12720,38","173,96"
507,22/10/2003,3,5,27,33,44,58,2,212,6604,"1963484,53","3273,22","104,68"
508,25/10/2003,5,10,15,45,46,56,0,33,3025,0,"18038,77","196,05"
509,29/10/2003,28,32,33,34,35,55,0,39,2852,0,"13104,28","178,52"
510,1/11/2003,1,4,30,41,45,58,2,70,4392,"4252983,06","15557,02","247,01"
511,5/11/2003,3,4,8,34,36,37,0,50,3155,0,"8700,75","137,37"
512,8/11/2003,4,8,31,40,53,58,3,41,2277,"653828,5","16727,11","300,05"
513,12/11/2003,10,19,27,33,39,46,0,46,2427,0,"8485,71","160,23"
514,15/11/2003,15,36,40,42,51,52,0,20,1209,0,"24964,72","411,42"
515,19/11/2003,15,16,39,45,48,57,0,33,2636,0,"20464,65","255,23"
516,22/11/2003,5,13,24,33,34,35,0,164,7718,0,"5416,02","114,65"
517,26/11/2003,7,8,28,32,38,51,0,36,3262,0,"22385,92","246,13"
518,29/11/2003,5,8,10,15,18,44,0,182,8653,0,"6014,85","126,04"
519,3/12/2003,9,15,19,22,36,42,0,111,7018,0,"9685,31","152,61"
520,6/12/2003,9,12,17,32,34,35,0,166,10884,0,"10017,32","152,2"
521,10/12/2003,15,25,28,32,38,45,0,166,10610,0,"10463,37","163,09"
522,13/12/2003,6,14,15,25,49,52,0,118,8280,0,"19311,39","274,17"
523,17/12/2003,28,39,40,44,45,58,0,123,9692,0,"27528,74","348,05"
524,20/12/2003,19,29,34,41,47,48,1,180,17156,"42794697,56","26580,49","277,83"
525,27/12/2003,8,10,24,26,32,49,2,153,9640,"10208722,99","11600,82","183,43"
526,3/1/2004,3,21,31,36,55,59,0,34,2444,0,"22681,04","314,34"
527,7/1/2004,6,14,17,26,50,52,0,23,2091,0,"27463,44","300,94"
528,10/1/2004,8,12,28,31,34,37,0,67,4827,0,"12554,6","173,6"
529,14/01/2004,1,13,33,38,45,56,15,87,4758,"348732,75","8565,12","156,03"
530,17/01/2004,1,6,21,25,32,49,0,49,3771,0,"18501,75","239,5"
531,21/01/2004,1,3,7,18,35,50,0,96,5188,0,"9079,1","167,37"
532,24/01/2004,4,9,12,13,52,53,0,69,5314,0,"16628,16","215,09"
533,28/01/2004,13,18,21,27,53,59,0,82,5129,0,"12747,27","203,03"
534,31/01/2004,3,8,23,31,48,57,1,107,6559,"15184658,12","12179,88","197,95"
535,4/2/2004,6,14,28,47,49,56,1,59,4136,"7834139,14","12025,02","170,89"
536,7/2/2004,14,15,22,23,25,37,0,49,3217,0,"12551,38","190,46"
537,11/2/2004,3,7,19,34,37,39,1,128,5345,"2054340,05","4366,34","104,17"
538,14/02/2004,3,25,43,45,52,56,0,36,2657,0,"16533,54","223,17"
539,18/02/2004,6,16,19,47,50,55,0,21,1908,0,"25214,62","276,47"
540,21/02/2004,4,22,28,30,44,49,0,84,4535,0,"10186,19","187,97"
541,28/02/2004,13,27,49,52,57,58,1,54,4879,"9144543,5","20304,76","223,88"
542,3/3/2004,4,6,19,28,35,49,0,42,2800,0,"9683,43","144,7"
543,6/3/2004,35,37,42,46,49,54,1,78,2557,"1836749,58","8241,89","250,47"
544,10/3/2004,11,17,33,34,47,56,0,39,2415,0,"10062,1","161,89"
545,13/03/2004,17,29,35,40,43,57,1,102,4315,"6409645,53","8292,97","195,29"
546,17/03/2004,4,5,13,17,46,54,0,32,3003,0,"12224,97","129,78"
547,20/03/2004,4,13,28,30,53,59,1,42,2599,"1746857,35","14452,51","232,67"
548,24/03/2004,14,47,49,51,58,59,0,9,965,0,"41634,7","386,83"
549,27/03/2004,8,13,22,46,51,58,0,34,2772,0,"17519,41","214,07"
550,31/03/2004,16,17,38,39,45,56,0,39,2948,0,18277,"240,88"
551,3/4/2004,12,21,46,48,56,57,0,35,3027,0,"28192,58","324,75"
552,7/4/2004,9,22,47,49,52,54,0,69,4299,0,"14110,09","225,61"
553,10/4/2004,4,43,46,53,54,58,0,42,3308,0,"23814,78","301,22"
554,14/04/2004,15,29,31,42,47,60,0,64,4812,0,"20951,21","277,6"
555,17/04/2004,5,23,31,33,45,49,1,152,10733,"23810057,19","13350,07","188,35"
556,21/04/2004,8,10,17,30,33,45,0,20,1699,0,"14872,57","174,41"
557,24/04/2004,8,12,18,23,38,49,0,59,3777,0,"11001,41","171,2"
558,28/04/2004,7,14,31,57,58,59,0,21,2000,0,"26571,46","277,94"
559,1/5/2004,6,13,17,25,36,53,1,75,4460,"3707152,54","8184,51","137,11"
560,5/5/2004,2,11,18,30,32,58,0,44,2585,0,"16215,47","274,97"
561,8/5/2004,1,20,36,39,49,55,0,32,2743,0,"31342,98","364,27"
562,12/5/2004,16,23,35,37,55,57,0,117,5150,0,"8271,95","187,22"
563,15/05/2004,5,8,23,34,44,51,0,90,6007,0,"13541,69","202,12"
564,19/05/2004,10,13,20,32,38,49,0,46,4446,0,"25392,82","261,73"
565,22/05/2004,7,31,34,35,37,45,0,57,6804,0,"29241,27","244,04"
566,26/05/2004,6,13,17,18,20,37,0,176,13032,0,"11334,45","152,49"
567,29/05/2004,11,31,38,41,57,58,0,69,5787,0,"37888,61","450,05"
568,2/6/2004,13,17,22,25,29,41,0,457,24931,0,"7802,44","142,48"
569,5/6/2004,3,9,14,15,32,57,1,434,29922,"46663532,7","11906,37","172,04"
570,9/6/2004,15,32,33,35,36,51,0,84,7539,0,"18168,1","201,67"
571,12/6/2004,12,13,14,31,50,51,0,69,5572,0,"22294,35","275,04"
572,16/06/2004,3,9,16,20,33,60,0,162,9940,0,"10668,49","173,21"
573,19/06/2004,6,17,22,29,40,59,0,82,8272,0,"25012,22",247
574,23/06/2004,2,10,17,23,32,44,0,162,12691,0,"12609,31","160,35"
575,26/06/2004,5,18,21,29,35,48,2,470,21660,"25737016,52","7359,84","159,1"
576,30/06/2004,7,8,18,39,43,52,0,27,1978,0,"22856,21","310,81"
577,3/7/2004,8,23,24,28,31,47,0,57,4579,0,"15092,9","187,17"
578,7/7/2004,3,18,23,48,56,58,1,62,3639,"3982872,62","12879,26","218,6"
579,10/7/2004,4,9,15,17,34,39,1,90,5172,"1175432,13","7463,06","129,38"
580,14/07/2004,15,16,18,28,38,47,0,56,4097,0,"16168,75","220,17"
581,17/07/2004,14,17,25,30,39,52,1,56,4429,"11781320,02","22330,36","281,27"
582,21/07/2004,13,29,40,45,51,59,0,29,1943,0,"17143,4","254,91"
583,24/07/2004,6,7,20,41,43,55,0,36,2157,0,"20218,13","336,16"
584,28/07/2004,7,8,23,30,32,53,0,49,3278,0,"13327,92","198,48"
585,31/07/2004,12,24,33,36,39,57,1,124,7122,"10166807,68","8468,35","146,89"
586,4/8/2004,11,13,38,39,45,54,0,30,2162,0,"15687,92","216,87"
587,7/8/2004,2,18,29,30,36,60,0,36,2436,0,"20518,92","302,09"
588,11/8/2004,11,13,45,46,53,55,0,22,2088,0,"29565,71","310,34"
589,14/08/2004,6,7,8,13,33,59,0,152,9005,0,"5926,91","99,66"
590,18/08/2004,4,5,18,25,28,51,0,70,5155,0,"14105,62","190,82"
591,21/08/2004,1,3,18,34,50,58,0,64,4448,0,"18968,95","271,9"
592,25/08/2004,13,14,42,47,55,59,0,60,5062,0,"18664,59","220,39"
593,28/08/2004,1,25,27,29,49,59,0,68,5291,0,"20265,54","259,47"
594,1/9/2004,10,13,29,47,53,55,0,121,6444,0,"11747,7","219,76"
595,4/9/2004,1,2,25,43,50,54,0,89,7230,0,"22736,36","278,82"
596,8/9/2004,11,14,28,43,54,60,0,116,6578,0,"15749,68","276,69"
597,11/9/2004,22,27,29,40,42,56,0,140,10021,0,"21650,75","301,33"
598,15/09/2004,5,16,34,38,50,53,2,234,19229,"23179951,19","15531,4","188,29"
599,18/09/2004,4,6,9,23,45,51,0,65,4755,0,"10375,8","141,31"
600,22/09/2004,16,18,31,34,39,54,0,73,4640,0,"16062,92","251,75"
601,25/09/2004,10,19,22,29,30,37,0,75,6002,0,"18837,59","234,5"
602,29/09/2004,7,13,38,46,55,60,0,95,6773,0,"13988,93","195,47"
603,2/10/2004,4,8,11,12,29,44,1,233,12565,"24750883,61","6701,5","123,8"
604,6/10/2004,15,25,41,46,49,51,0,15,1422,0,"35679,23","374,94"
605,9/10/2004,4,24,44,49,52,53,0,45,3980,0,"23716,98","267,15"
606,13/10/2004,6,23,32,35,41,55,1,43,3770,"11878491,65","20736,93","235,63"
607,16/10/2004,6,11,19,27,41,59,0,48,3059,0,"13506,67","211,14"
608,20/10/2004,6,13,19,24,30,37,0,101,5181,0,"6267,54","121,72"
609,23/10/2004,2,6,15,58,59,60,0,60,3994,0,"13952,24","208,81"
610,27/10/2004,25,30,43,45,47,49,0,62,4044,0,"14911,12","227,75"
611,30/10/2004,16,21,22,33,48,49,0,69,4531,0,"16349,76","248,04"
612,3/11/2004,15,18,33,50,53,55,0,41,3389,0,"22250,05","268,16"
613,6/11/2004,6,13,19,44,54,55,0,108,7101,0,"12259,22","185,76"
614,10/11/2004,12,16,31,48,57,60,0,53,4127,0,"24951,84","319,23"
615,13/11/2004,5,8,10,27,31,51,0,157,9780,0,"11348,03","181,48"
616,17/11/2004,2,12,16,24,26,54,0,90,9236,0,"18187,52","176,56"
617,20/11/2004,3,5,25,33,36,49,2,289,17341,"17791387,59","7834,5","130,08"
618,24/11/2004,3,8,10,13,24,60,0,86,4992,0,"6312,56","108,34"
619,27/11/2004,8,12,14,16,19,46,0,101,5924,0,"7354,06","124,91"
620,1/12/2004,1,3,13,22,29,32,0,87,5886,0,"11707,09","172,39"
621,4/12/2004,26,29,31,49,50,57,0,40,3837,0,"32904,81","341,73"
622,8/12/2004,19,27,29,38,50,59,0,49,3560,0,"24789,92","339,92"
623,11/12/2004,9,23,30,42,49,55,0,124,6915,0,"12236,03","218,59"
624,15/12/2004,8,23,34,39,43,52,1,108,7284,"22375180,08","13482,59","199,16"
625,18/12/2004,12,24,32,40,42,59,0,49,4056,0,"20777,72","250,06"
626,22/12/2004,7,8,18,22,39,49,0,52,5096,0,"21294,16","216,47"
627,29/12/2004,1,13,19,45,56,58,0,112,8049,0,"14270,18","197,82"
628,5/1/2005,8,16,22,30,56,58,1,76,5510,"17373966,13","20331,21","279,37"
629,8/1/2005,15,16,39,40,47,51,1,15,1865,"1104456,38","42074,53","337,13"
630,12/1/2005,12,16,20,45,53,60,0,33,2972,0,"24880,69","275,23"
631,15/01/2005,1,20,28,32,44,47,1,46,3548,"10579247,17","21955,84","283,58"
632,19/01/2005,2,19,28,48,51,54,0,26,1962,0,"19697,02","260,03"
633,22/01/2005,5,11,22,27,46,50,0,58,3524,0,"11744,77","192,57"
634,26/01/2005,10,13,24,41,42,56,0,54,3752,0,"11854,27","169,97"
635,29/01/2005,8,20,26,37,42,49,0,58,3646,0,"16456,84","260,8"
636,2/2/2005,26,28,30,32,34,50,0,74,3170,0,"12762,47","296,79"
637,5/2/2005,11,18,43,48,52,58,0,29,3560,0,"38451,69","312,04"
638,12/2/2005,10,11,36,41,42,50,0,65,4518,0,"22677,35","325,03"
639,16/02/2005,13,35,39,45,51,60,0,72,5473,0,"17653,96","231,37"
640,19/02/2005,12,19,42,46,59,60,0,129,8094,0,"14012,81","222,49"
641,23/02/2005,1,9,13,17,33,34,1,366,20840,"31923289,19","5766,38","100,89"
642,26/02/2005,17,36,40,44,51,56,0,28,1988,0,"22758,8","319,34"
643,2/3/2005,14,24,37,40,42,45,0,41,2694,0,"15663,14","237,48"
644,5/3/2005,14,27,29,31,34,57,0,81,4433,0,"10667,36","194,17"
645,9/3/2005,3,24,48,52,53,54,0,39,4345,0,"27310,11","244,2"
646,12/3/2005,10,13,32,47,49,60,0,79,6173,0,"16079,41",205
647,16/03/2005,11,12,14,19,54,56,1,50,5432,"17603353,15","25009,18","229,34"
648,19/03/2005,5,23,29,42,45,48,3,139,4869,"361199,61","4454,67","126,69"
649,23/03/2005,9,24,33,41,48,54,0,31,2156,0,"15748,23","225,57"
650,26/03/2005,10,24,25,29,53,59,0,29,2765,0,"24322,62","254,15"
651,30/03/2005,26,28,39,45,48,60,0,36,4356,0,"24882,92","204,86"
