Concurso,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3
74,3/8/1997,2,24,34,37,38,50,0,40,3321,0,"18257,68","219,48"
75,10/8/1997,21,24,35,36,37,49,0,70,5032,0,"12395,02","172,09"
76,17/08/1997,8,17,18,23,33,53,0,92,6399,0,"10247,61","147,04"
77,24/08/1997,21,29,40,49,54,57,0,20,2635,0,"49648,81","376,09"
78,31/08/1997,12,22,25,31,32,46,0,103,5984,0,"9907,36","170,19"
79,7/9/1997,2,13,17,25,31,43,1,247,13375,"6770601,75","4404,85","81,18"
80,14/09/1997,23,28,37,40,48,51,0,43,4284,0,26443,"264,89"
81,21/09/1997,10,23,41,47,54,60,0,62,4870,0,"19453,15","247,17"
82,28/09/1997,15,18,29,36,51,53,1,77,5889,"13877826,02","15982,73","208,57"
83,5/10/1997,4,15,16,24,42,57,0,76,4756,0,"9408,43","150,04"
84,12/10/1997,4,6,10,25,34,40,0,102,5546,0,"7539,68","138,4"
85,19/10/1997,6,15,30,37,45,47,0,45,4312,0,"17279,25","179,96"
86,26/10/1997,6,21,22,34,36,54,0,48,3752,0,"16752,96","213,9"
87,2/11/1997,4,5,11,28,32,40,0,64,5195,0,"12696,6","156,11"
88,9/11/1997,4,18,29,37,43,45,0,110,6805,0,"7965,82","128,51"
89,16/11/1997,13,34,42,44,55,59,0,36,3847,0,24246,"226,45"
90,23/11/1997,9,21,26,40,52,54,1,74,4763,"15764300,87","18584,49","288,17"
91,30/11/1997,2,4,10,35,39,60,0,68,3878,0,"9588,8","167,81"
92,7/12/1997,1,3,5,23,24,51,0,75,5530,0,"9792,64","132,56"
93,14/12/1997,2,22,28,31,36,53,0,61,3795,0,"12369,31","198,44"
94,21/12/1997,8,18,28,51,52,55,0,25,2086,0,"31457,49","376,26"
95,28/12/1997,6,40,45,46,50,60,0,22,2185,0,"30807,89","309,58"
96,4/1/1998,4,7,26,40,42,58,1,62,3984,"5218562,47","11993,17","186,27"
97,11/1/1998,5,11,14,35,53,56,1,56,3441,"727932,66","10832,33","175,94"
98,18/01/1998,13,14,31,33,35,43,0,89,4972,0,"6508,88","116,28"
99,25/01/1998,11,24,30,33,46,60,0,46,3015,0,"14037,92","213,76"
100,1/2/1998,14,29,30,46,48,51,0,56,3600,0,"15930,48","247,32"
101,8/2/1998,1,18,29,31,37,39,0,52,4653,0,"20589,41","229,64"
102,15/02/1998,19,20,37,42,44,56,1,73,6197,"11336626,88","16743,36","196,85"
103,22/02/1998,1,7,9,49,54,57,1,28,2632,"696984,24","20743,58","220,24"
104,1/3/1998,1,4,13,21,38,52,0,37,2588,0,"14006,33","199,85"
105,8/3/1998,3,13,31,43,46,49,0,55,4875,0,"11824,08","133,14"
106,15/03/1998,5,16,24,35,38,39,0,94,5390,0,"7678,27","133,65"
107,22/03/1998,2,4,16,24,51,52,0,35,3554,0,"21494,23","211,26"
108,29/03/1998,21,24,29,34,59,60,0,35,2453,0,"22511,72","320,57"
109,4/4/1998,1,13,44,48,49,54,0,39,3881,0,"21153,3","212,15"
110,11/4/1998,18,31,43,52,57,58,0,35,3212,0,"27771,48","302,01"
111,18/04/1998,4,22,25,32,33,52,0,68,6109,0,"18082,94","200,88"
112,25/04/1998,12,20,34,37,42,43,1,137,8340,"15802579,93","9957,01","163,25"
113,2/5/1998,7,26,28,34,54,55,0,38,2572,0,"14269,55","210,4"
114,9/5/1998,6,12,18,37,47,54,0,71,4908,0,"9626,08","138,99"
115,16/05/1998,4,6,14,20,24,38,0,78,5091,0,"9283,1","141,95"
116,23/05/1998,5,13,32,36,42,51,0,64,5270,0,"11956,28","144,91"
117,30/05/1998,20,25,27,33,42,53,0,36,3822,0,"22046,87","207,26"
118,6/6/1998,9,22,25,37,56,57,0,53,4342,0,"16052,88","195,56"
119,13/06/1998,1,21,36,38,47,50,0,21,2691,0,"38921,16","303,13"
120,20/06/1998,3,16,27,40,45,46,0,92,7073,0,"13020,97","169,04"
121,27/06/1998,2,29,41,44,53,55,0,45,4554,0,28917,"285,17"
122,4/7/1998,11,17,20,39,43,53,0,83,7203,0,"18210,45","209,43"
123,11/7/1998,13,14,16,26,32,42,0,176,13159,0,"12440,56","166,06"
124,18/07/1998,5,15,34,41,52,57,1,188,14019,"24536288,72","17242,12","230,76"
125,25/07/1998,25,41,47,53,56,59,0,46,2784,0,"15425,68","254,38"
126,1/8/1998,6,10,11,28,32,40,0,83,5510,0,"10052,56","151,13"
127,8/8/1998,21,29,50,51,54,59,0,40,2613,0,"23638,47","361,14"
128,15/08/1998,3,9,18,21,23,43,0,973,11715,0,"1024,41","84,91"
129,22/08/1998,1,9,10,32,46,54,0,67,5320,0,"15634,41","196,51"
130,29/08/1998,13,29,38,42,49,53,0,155,11403,0,"11796,24","160,03"
131,5/9/1998,4,9,17,27,30,44,0,361,21683,0,"6811,67","113,19"
132,12/9/1998,7,9,35,41,44,50,0,143,12179,0,"20846,64","244,29"
133,19/09/1998,5,6,19,34,39,57,1,431,29264,"30533241,12","10035,16","147,51"
134,26/09/1998,4,25,32,36,52,60,0,82,4575,0,"10253,38","183,42"
135,3/10/1998,21,22,35,40,53,59,0,40,3604,0,"24573,18","272,19"
136,10/10/1998,1,17,25,38,45,59,0,126,7403,0,"8435,36","143,29"
